OBJECTID,src_NewID,nbr_NewID
1,0,1
2,0,68
3,0,69
4,1,0
5,1,2
6,1,67
7,1,68
8,1,69
9,2,1
10,2,3
11,2,66
12,2,67
13,2,68
14,3,2
15,3,4
16,3,65
17,3,66
18,3,67
19,4,3
20,4,5
21,4,64
22,4,65
23,4,66
24,5,4
25,5,6
26,5,63
27,5,64
28,5,65
29,6,5
30,6,7
31,6,62
32,6,63
33,6,64
34,7,6
35,7,8
36,7,61
37,7,62
38,7,63
39,8,7
40,8,9
41,8,60
42,8,61
43,8,62
44,9,8
45,9,10
46,9,59
47,9,60
48,9,61
49,10,9
50,10,11
51,10,58
52,10,59
53,10,60
54,11,10
55,11,12
56,11,57
57,11,58
58,11,59
59,12,11
60,12,13
61,12,56
62,12,57
63,12,58
64,13,12
65,13,14
66,13,55
67,13,56
68,13,57
69,14,13
70,14,15
71,14,54
72,14,55
73,14,56
74,15,14
75,15,16
76,15,53
77,15,54
78,15,55
79,16,15
80,16,17
81,16,52
82,16,53
83,16,54
84,17,16
85,17,18
86,17,51
87,17,52
88,17,53
89,18,17
90,18,19
91,18,50
92,18,51
93,18,52
94,19,18
95,19,20
96,19,49
97,19,50
98,19,51
99,20,19
100,20,21
101,20,48
102,20,49
103,20,50
104,21,20
105,21,22
106,21,47
107,21,48
108,21,49
109,22,21
110,22,23
111,22,46
112,22,47
113,22,48
114,23,22
115,23,24
116,23,45
117,23,46
118,23,47
119,24,23
120,24,25
121,24,44
122,24,45
123,24,46
124,25,24
125,25,26
126,25,43
127,25,44
128,25,45
129,26,25
130,26,27
131,26,42
132,26,43
133,26,44
134,27,26
135,27,28
136,27,41
137,27,42
138,27,43
139,28,27
140,28,29
141,28,40
142,28,41
143,28,42
144,29,28
145,29,30
146,29,39
147,29,40
148,29,41
149,30,29
150,30,31
151,30,38
152,30,39
153,30,40
154,31,30
155,31,32
156,31,37
157,31,38
158,31,39
159,32,31
160,32,33
161,32,36
162,32,37
163,32,38
164,33,32
165,33,34
166,33,35
167,33,36
168,33,37
169,34,33
170,34,35
171,34,36
172,35,33
173,35,34
174,35,36
175,35,70
176,35,71
