NewID,Area,Veg_Com_No,Veg_Area,Per_Area,
0,20840.69,-1,20840.69,1,
1,20780.04,-1,20780.04,1,
2,20719.38,-1,20719.38,1,
3,20658.72,-1,20658.72,1,
4,20598.07,-1,20598.07,1,
5,20537.41,-1,20537.41,1,
6,20476.76,-1,20476.76,1,
7,20416.1,-1,20416.1,1,
8,20355.44,-1,20355.44,1,
9,20218.24,-1,20218.24,1,
10,22519.6,-1,22519.6,1,
11,22350.05,-1,22350.05,1,
12,22180.51,-1,22180.51,1,
13,22010.96,-1,22010.96,1,
14,21841.42,-1,21841.42,1,
15,21671.87,-1,21659.14,0.9994,
15,21671.87,9,12.74,0.0006,
16,21502.33,4,541.65,0.0252,
16,21502.33,-1,20854.22,0.9699,
16,21502.33,9,106.46,0.005,
17,21332.78,3,417.87,0.0196,
17,21332.78,4,98.17,0.0046,
17,21332.78,-1,20816.74,0.9758,
18,21163.24,3,123.29,0.0058,
18,21163.24,-1,21039.95,0.9942,
19,20993.69,-1,20993.69,1,
20,20824.15,3,1582.41,0.076,
20,20824.15,-1,19241.74,0.924,
21,20654.6,3,7507.13,0.3635,
21,20654.6,-1,13147.48,0.6365,
22,20485.06,3,11790.87,0.5756,
22,20485.06,-1,8694.19,0.4244,
23,20315.51,3,14049.79,0.6916,
23,20315.51,7,5.77,0.0003,
23,20315.51,-1,6259.96,0.3081,
24,20145.97,3,13563.01,0.6732,
24,20145.97,7,509.97,0.0253,
24,20145.97,-1,6072.99,0.3014,
25,19976.43,3,12648.84,0.6332,
25,19976.43,7,1431.6,0.0717,
25,19976.43,-1,5895.99,0.2951,
26,19806.88,3,12255.56,0.6188,
26,19806.88,7,1831.96,0.0925,
26,19806.88,-1,5719.36,0.2888,
27,19637.34,3,13307.33,0.6777,
27,19637.34,7,786.88,0.0401,
27,19637.34,-1,5543.12,0.2823,
28,19467.79,3,9006.28,0.4626,
28,19467.79,1,2412.17,0.1239,
28,19467.79,-1,8049.34,0.4135,
29,19298.25,3,1258.04,0.0652,
29,19298.25,-1,18040.21,0.9348,
30,28376.12,-1,28376.12,1,
31,28002.43,-1,28002.43,1,
32,27628.74,-1,27628.74,1,
33,27255.06,-1,27255.06,1,
34,26881.37,-1,26881.37,1,
35,32649.19,-1,32649.19,1,
36,33099.89,-1,33099.89,1,
37,33550.59,-1,33550.59,1,
